Case 1 - Low Confidence ( 122 )
==================================================
HYPONYM(judges, dignitaries)
HYPONYM(airline, web_sites)
HYPONYM(birds, creatures)
HYPONYM(radishes, vegetables)
HYPONYM(cabbages, vegetables)
HYPONYM(cafes, foreigners)
HYPONYM(pomposity, traits)
HYPONYM(depression, diseases)
HYPONYM(hares, creatures)
HYPONYM(insurance_brokers, professionals)
HYPONYM(return_addresses, information)
HYPONYM(democrats, critics)
HYPONYM(chicken, fast_food)
HYPONYM(vomiting, side_effects)
HYPONYM(president_bush, leaders)
HYPONYM(dolls, bits)
HYPONYM(posters, items)
HYPONYM(landers, vehicles)
HYPONYM(influenza, illnesses)
HYPONYM(hotels, foreigners)
HYPONYM(prosecution, actions)
HYPONYM(chairman, top_executives)
HYPONYM(sociologists, experts)
HYPONYM(europe, countries)
HYPONYM(schedules, information)
HYPONYM(hotels, attractions)
HYPONYM(tulips, flora)
HYPONYM(phones, electronic_devices)
HYPONYM(typhoons, high_winds)
HYPONYM(rwanda, disaster_areas)
HYPONYM(car_rentals, travel_expenses)
HYPONYM(influenza, ailments)
HYPONYM(pesticides, pollutants)
HYPONYM(pizza, fast_food)
HYPONYM(dentists, health_care_providers)
HYPONYM(hotel, florida)
HYPONYM(saudi_arabia, nations)
HYPONYM(grease, pollutants)
HYPONYM(shampoos, toiletries)
HYPONYM(france, countries)
HYPONYM(probes, vehicles)
HYPONYM(perjury, crimes)
HYPONYM(anger, emotions)
HYPONYM(bronchial_asthma, ailments)
HYPONYM(shopping_malls, foreigners)
HYPONYM(milk, dairy_products)
HYPONYM(spinal_cords, nerve_tissue)
HYPONYM(fabrics, girls)
HYPONYM(insurance, expenses)
HYPONYM(executives, advisers)
HYPONYM(soaps, toiletries)
HYPONYM(china, countries)
HYPONYM(breakfast, florida)
HYPONYM(cascara, tea)
HYPONYM(areas, waterfront)
HYPONYM(adulthood, aspects)
HYPONYM(senna, tea)
HYPONYM(team, teams)
HYPONYM(oranges, vegetables)
HYPONYM(kuwait, countries)
HYPONYM(cribs, items)



Case 1 - Medium Confidence ( 8 )
==================================================
HYPONYM(davis, contemporaries)
HYPONYM(gorky, contemporaries)
HYPONYM(germany, countries)
HYPONYM(trucks, equipment)
HYPONYM(sculpture, items)
HYPONYM(civets, animals)
HYPONYM(de_kooning, contemporaries)
HYPONYM(teachers, staff_members)



Case 1 - High Confidence ( 2 )
==================================================
HYPONYM(president_bush, republicans)
HYPONYM(bonds, securities)



Case 2 - Low Confidence ( 175 )
==================================================
HYPONYM(personals, services)
HYPONYM(lincoln, hospitals)
HYPONYM(banners, items)
HYPONYM(movies, features)
HYPONYM(chief_executive, job)
HYPONYM(consumer_goods, staples)
HYPONYM(terrorism, crimes)
HYPONYM(pheasant, birds)
HYPONYM(carbon_dioxide, emissions)
HYPONYM(renoirs, impressionist)
HYPONYM(astronauts, employees)
HYPONYM(appalachia, areas)
HYPONYM(journalism, fields)
HYPONYM(hotels, areas)
HYPONYM(voles, creatures)
HYPONYM(leonard_bernstein, colleagues)
HYPONYM(tehran, cities)
HYPONYM(inheritance_taxes, issues)
HYPONYM(spouses, members)
HYPONYM(free_agency, things)
HYPONYM(children, tenants)
HYPONYM(somalia, disaster_areas)
HYPONYM(russia, countries)
HYPONYM(epilepsy, neurological_disorders)
HYPONYM(india, countries)
HYPONYM(informants, factors)
HYPONYM(commanders, officials)
HYPONYM(italy, countries)
HYPONYM(auditors, advisers)
HYPONYM(chile, countries)
HYPONYM(fertilizers, pollutants)
HYPONYM(pastas, entrees)
HYPONYM(office_buildings, properties)
HYPONYM(gasoline, fuel)
HYPONYM(computers, things)
HYPONYM(porterhouse, meat)
HYPONYM(italy, subjects)
HYPONYM(restaurants, facilities)
HYPONYM(rugs, flooring)
HYPONYM(hospitals, structures)
HYPONYM(children, members)
HYPONYM(vulgarity, traits)
HYPONYM(bribery, charges)
HYPONYM(members, visitors)
HYPONYM(turkey, nations)
HYPONYM(brokerage_firms, third_parties)
HYPONYM(duke_ellington, leaders)
HYPONYM(epidemiology, fields)
HYPONYM(dissidents, matters)
HYPONYM(travel_agencies, companies)
HYPONYM(police_chief, leaders)
HYPONYM(mike_tyson, boxers)
HYPONYM(jews, refugees)
HYPONYM(canada, nations)
HYPONYM(chicago, parts)
HYPONYM(hotel, web_sites)
HYPONYM(computers, devices)
HYPONYM(turkmen, minorities)
HYPONYM(freeman, finalists)
HYPONYM(explosives, contraband)
HYPONYM(new_york, parts)
HYPONYM(bridgeport, cities)
HYPONYM(sanitation, fields)
HYPONYM(dorothea_lange, photographers)
HYPONYM(iraq, nations)
HYPONYM(restaurants, attractions)
HYPONYM(economist, jobs)
HYPONYM(port-au-prince, cities)
HYPONYM(matisses, impressionist)
HYPONYM(payments, restrictions)
HYPONYM(president, capacities)
HYPONYM(jacobi, hospitals)
HYPONYM(colorado, states)
HYPONYM(airplanes, places)
HYPONYM(eczema, skin_conditions)
HYPONYM(henry_kissinger, bosses)
HYPONYM(aloe, tea)
HYPONYM(poland, countries)
HYPONYM(baseball_caps, head_coverings)
HYPONYM(extortion, charges)
HYPONYM(administrators, staff_members)
HYPONYM(hallucinations, side_effects)
HYPONYM(physicians, health_care_providers)
HYPONYM(i._m._pei, architecture)
HYPONYM(roller_coasters, rides)
HYPONYM(restaurants, foreigners)
HYPONYM(new_jersey, states)
HYPONYM(heart_attack, signs)
HYPONYM(davenport, parts)
HYPONYM(tallow, products)
HYPONYM(lilith, characters)
HYPONYM(schools, buildings)
HYPONYM(des_moines, parts)
HYPONYM(radishes, vegetables)
HYPONYM(cafes, foreigners)
HYPONYM(pomposity, traits)
HYPONYM(iraq, subjects)
HYPONYM(insurance_brokers, professionals)
HYPONYM(return_addresses, information)
HYPONYM(democrats, critics)
HYPONYM(tax_credits, measures)
HYPONYM(memphis, communities)
HYPONYM(cars, goods)
HYPONYM(hospitals, buildings)
HYPONYM(valve, piece)
HYPONYM(president_bush, leaders)
HYPONYM(printer, piece)
HYPONYM(dolls, bits)
HYPONYM(pet_food, products)
HYPONYM(posters, items)
HYPONYM(furniture, items)
HYPONYM(landers, vehicles)
HYPONYM(influenza, illnesses)
HYPONYM(hotels, foreigners)
HYPONYM(prosecution, actions)
HYPONYM(bank_loans, debt)
HYPONYM(permafrost, changes)
HYPONYM(sociologists, experts)
HYPONYM(europe, countries)
HYPONYM(diversity, programs)
HYPONYM(education, fields)
HYPONYM(highways, structures)
HYPONYM(hotels, attractions)
HYPONYM(tulips, flora)
HYPONYM(health_care, issues)
HYPONYM(typhoons, high_winds)
HYPONYM(rwanda, disaster_areas)
HYPONYM(vocal_cords, parts)
HYPONYM(bronchitis, infections)
HYPONYM(security, matters)
HYPONYM(car_rentals, travel_expenses)
HYPONYM(high_blood_pressure, infections)
HYPONYM(billiard_rooms, space)
HYPONYM(influenza, ailments)
HYPONYM(pesticides, pollutants)
HYPONYM(new_york, cities)
HYPONYM(pizza, fast_food)
HYPONYM(champagne, dinner)
HYPONYM(dentists, health_care_providers)
HYPONYM(hotel, florida)
HYPONYM(expectations, factors)
HYPONYM(criticism, comments)
HYPONYM(saudi_arabia, nations)
HYPONYM(psoriasis, skin_conditions)
HYPONYM(france, countries)
HYPONYM(partridge, birds)
HYPONYM(lichens, vegetation)
HYPONYM(sedges, vegetation)
HYPONYM(perjury, crimes)
HYPONYM(dubuque, parts)
HYPONYM(allen_ginsberg, beats)
HYPONYM(carpentry, work)
HYPONYM(bronchial_asthma, ailments)
HYPONYM(foods, items)
HYPONYM(shopping_malls, foreigners)
HYPONYM(infectious_diseases, fields)
HYPONYM(disorderly_conduct, charges)
HYPONYM(athletic_fields, sites)
HYPONYM(spinal_cords, nerve_tissue)
HYPONYM(green_tea, stuff)
HYPONYM(assassinations, abuses)
HYPONYM(relatives, connections)
HYPONYM(executives, advisers)
HYPONYM(china, countries)
HYPONYM(cascara, tea)
HYPONYM(nausea, side_effects)
HYPONYM(money, resources)
HYPONYM(senna, tea)
HYPONYM(team, teams)
HYPONYM(life_support, systems)
HYPONYM(berkeley, area)
HYPONYM(oranges, vegetables)
HYPONYM(kuwait, countries)
HYPONYM(theaters, places)
HYPONYM(graffiti, control)



Case 2 - Medium Confidence ( 7 )
==================================================
HYPONYM(davis, contemporaries)
HYPONYM(gorky, contemporaries)
HYPONYM(lyrics, writings)
HYPONYM(germany, countries)
HYPONYM(time_sheets, documents)
HYPONYM(civets, animals)
HYPONYM(de_kooning, contemporaries)



Case 2 - High Confidence ( 1 )
==================================================
HYPONYM(president_bush, republicans)



Case 3 - Low Confidence ( 58 )
==================================================
HYPONYM(el_nino, systems)
HYPONYM(sabotage, problems)
HYPONYM(overtime, expenses)
HYPONYM(police_captains, teams)
HYPONYM(high-resolution, war)
HYPONYM(fuel_oil, expenses)
HYPONYM(government_agencies, entities)
HYPONYM(technology, goods)
HYPONYM(manuscripts, works)
HYPONYM(government, web_sites)
HYPONYM(yahoo, search_engines)
HYPONYM(tax_credits, incentives)
HYPONYM(victories, davis)
HYPONYM(mental_retardation, neurological_disorders)
HYPONYM(rank, insignia)
HYPONYM(credit_cards, products)
HYPONYM(victims, laity)
HYPONYM(insurance, landlords)
HYPONYM(test_pilots, behalf)
HYPONYM(tariffs, forms)
HYPONYM(hundreds, paris)
HYPONYM(power_plants, infrastructure)
HYPONYM(calf, injuries)
HYPONYM(water, expenses)
HYPONYM(amnesia, side_effects)
HYPONYM(cooperation, iran)
HYPONYM(roads, infrastructure)
HYPONYM(trombone, timbres)
HYPONYM(cassettes, hours)
HYPONYM(officials, local_authorities)
HYPONYM(grandchildren, occasions)
HYPONYM(harry, menagerie)
HYPONYM(earnings, factors)
HYPONYM(propulsion, systems)
HYPONYM(pipelines, infrastructure)
HYPONYM(hours, compilations)
HYPONYM(months, officials)
HYPONYM(transcripts, treasury_secretary)
HYPONYM(museums, infrastructure)
HYPONYM(product_introductions, events)
HYPONYM(hospitals, infrastructure)
HYPONYM(kaiser, steel_companies)
HYPONYM(crime, problems)
HYPONYM(accordion, timbres)
HYPONYM(columbia, setbacks)
HYPONYM(assaults, high_schools)
HYPONYM(iraq, crimes)
HYPONYM(hotels, activities)
HYPONYM(buildings, assets)
HYPONYM(government_buildings, infrastructure)
HYPONYM(workshops, conferences)
HYPONYM(rotary_international, partners)
HYPONYM(national, steel_companies)
HYPONYM(tax_breaks, goodies)
HYPONYM(conventions, events)
HYPONYM(christians, minorities)
HYPONYM(unicef, partners)
HYPONYM(failure, international_law)



Case 3 - Medium Confidence ( 3 )
==================================================
HYPONYM(meeting_place, information)
HYPONYM(eleven, crew_members)
HYPONYM(photography, items)



Case 3 - High Confidence ( 0 )
==================================================



Case 4 - Low Confidence ( 1291 )
==================================================
HYPONYM(stroke, cardiovascular_event)
HYPONYM(favorable_exchange_rates, reasons)
HYPONYM(piece, period_ads)
HYPONYM(an_aquatic_center, a_mixed-use_project)
HYPONYM(thursday, that_span)
HYPONYM(congressional_hearings, forms)
HYPONYM(citigroup, banks)
HYPONYM(mr._zoellick, the_united_states)
HYPONYM(enron, corporate_scandals)
HYPONYM(washington, western_experts)
HYPONYM(great_neck_estates, seven_nassau_villages)
HYPONYM(''las_meninas, investitures)
HYPONYM(pension_plans, institutional_clients)
HYPONYM(a_swiss_citizen, 35_people)
HYPONYM(michael_kors, seventh_avenue_designers)
HYPONYM(the_supervisor, this_week)
HYPONYM(enough_editors, fashion_ladies)
HYPONYM(the_state, opponents)
HYPONYM(the_requiem, works)
HYPONYM(saudi_arabia, persian_gulf_countries)
HYPONYM(attempted_murder, charges)
HYPONYM(roger_berlind, likely_producers)
HYPONYM(continental_breakfast, $70)
HYPONYM(the_regular_use, yield)
HYPONYM(those_fighting, all_militants)
HYPONYM(satellite_radio, features)
HYPONYM(bonnie_raitt, headliners)
HYPONYM(the_financial_legacy, an_even_larger_iraqi_debt)
HYPONYM(the_dec., recent_events)
HYPONYM(ceramics, some_180_pieces)
HYPONYM(fire_island, some_areas)
HYPONYM(the_creation, several_long-range_goals)
HYPONYM(that_traffic, conditions)
HYPONYM(the_redwood_trust, real_estate_investment_trusts)
HYPONYM(a_member, five_political_representatives)
HYPONYM(bond_issues, policy_decisions)
HYPONYM(agriculture, many_industries)
HYPONYM(several_top_wall_street_executives, the_financial_sector)
HYPONYM(america_online, clients)
HYPONYM(episcopalians, mainstream_christians)
HYPONYM(mp3, various_formats)
HYPONYM(paddington_bear, literary_characters)
HYPONYM(elliott_carter, composers)
HYPONYM(construction, many_industries)
HYPONYM(the_dreiser_edition, upsurge)
HYPONYM(businessweek_magazine, several_news_organizations)
HYPONYM(china, many_countries)
HYPONYM(movie_listings, a_few_other_modules)
HYPONYM(construction_contracts, a_small_issue)
HYPONYM(o'neal, several_players)
HYPONYM(president, a_ban)
HYPONYM(the_influential_governance, major_committees)
HYPONYM(resorts, numerous_ventures)
HYPONYM(eliza_gilkyson, well-known_folksingers)
HYPONYM(grass-roots_leaders, a_dozen_interests)
HYPONYM(casual_group_pictures, photographs)
HYPONYM(guards, low-level_employees)
HYPONYM(transportation_links, ''people)
HYPONYM(penny_hardaway, the_new_knicks)
HYPONYM(founders_society, committees)
HYPONYM(so-called_soft_dollar_arrangements, investors)
HYPONYM(china, trading_partners)
HYPONYM(the_united_states, nations)
HYPONYM(the_drummer_clarence_penn, a_quartet)
HYPONYM(paul_klee, others)
HYPONYM(other_files, financial_records)
HYPONYM(funerals, unanticipated_events)
HYPONYM(paris, eight_other_cities)
HYPONYM(the_major_organization, critics)
HYPONYM(miami, south_florida)
HYPONYM(an_1817_girandole_mirror, the_metropolitan_museum)
HYPONYM(surrealism, many_different_styles)
HYPONYM(tavern, about_350_restaurants)
HYPONYM(the_national_debt, obligations)
HYPONYM(the_central_bank, agencies)
HYPONYM(human_rights_violations, crimes)
HYPONYM(miró, others)
HYPONYM(public_safety, vital_services)
HYPONYM(carmel, smaller_townships)
HYPONYM(much_control_nasa, government_agencies)
HYPONYM(los_angeles, major_american_cities)
HYPONYM(china, the_n._b._a.)
HYPONYM(adidas, clients)
HYPONYM(usher, several_arista_artists)
HYPONYM(mr._cohen, american_intelligence_officials)
HYPONYM(the_fight, the_new_year)
HYPONYM(friends, about_400_people)
HYPONYM(bridges, possible_targets)
HYPONYM(nme, the_division)
HYPONYM(the_department, a_year)
HYPONYM(store_detectives, each_store)
HYPONYM(outraged_off-roaders, land-use_activists)
HYPONYM(ask_jeeves, search_engines)
HYPONYM(herbal_supplements, no_over-the-counter_dietary_supplements)
HYPONYM(lord_black, top_executives)
HYPONYM(citigroup_inc., mightiest_banks)
HYPONYM(more_democracy, iran)
HYPONYM(fiddles, string_instruments)
HYPONYM(boston, big_cities)
HYPONYM(''relieve_emotional_pain, weight)
HYPONYM(havana, eight_other_cities)
HYPONYM(the_swatch_group, suitors)
HYPONYM(stronger_local_communities, concrete_benefits)
HYPONYM(mr._spitzer, critics)
HYPONYM(brokerage, online_financial_services)
HYPONYM(rhubarb_root, tea)
HYPONYM(''rap_phenomenon_ii, meticulous_mixtapes)
HYPONYM(ruppert, breweries)
HYPONYM(terrorism, international_conspiracy)
HYPONYM(pension_funds, institutional_assets)
HYPONYM(others, search_engines)
HYPONYM(the_tribune-times_survey, campaign_polls)
HYPONYM(the_past_five_games, an_8-5_advantage)
HYPONYM(jaromir_jagr, any_other_sports_celebrity)
HYPONYM(15_aid_workers, last_year)
HYPONYM(the_united_states, key_members)
HYPONYM(off_limits, land-use_activists)
HYPONYM(moonstones, exotic_stones)
HYPONYM(american_soldiers, foreigners)
HYPONYM(city_ballet, legacy)
HYPONYM(vintage_sheet_music, artifacts)
HYPONYM(verizon, companies)
HYPONYM(a_warning, quick_shots)
HYPONYM(20-kilometer, 100_kilometers)
HYPONYM(litchi, 16_flavors)
HYPONYM(wifredo_lam, others)
HYPONYM(ski_lockers, facilities)
HYPONYM(lord_black, company_executives)
HYPONYM(theresa_stern, archives)
HYPONYM(e-mail_storage, services)
HYPONYM(the_standard, morningstar_inc.)
HYPONYM(one_group, investigation)
HYPONYM(glass_bricks, architectural_motifs)
HYPONYM(tax_cuts, some_bush_policies)
HYPONYM(children, the_community)
HYPONYM(an_orphanage, 21_places)
HYPONYM(back_stunning_photos, information)
HYPONYM(layoffs, last_year)
HYPONYM(firecrackers, a_public_ceremony)
HYPONYM(the_head, prosecutors)
HYPONYM(zircons, exotic_stones)
HYPONYM(a_quiet_version, some_piano_ballads)
HYPONYM(the_locker_room, people)
HYPONYM(imam_mahdi_al-sumaydai, 32_people)
HYPONYM(leaders, many_people)
HYPONYM(free_jazz, more_modern_approaches)
HYPONYM(a_theater_group, spinoffs)
HYPONYM(a_1775_philadelphia_chippendale_table, the_metropolitan_museum)
HYPONYM(a_caterpillar_bulldozer, machines)
HYPONYM(the_brae_burn_country_club, requests)
HYPONYM(222_yards, the_rams)
HYPONYM(loaded, the_division)
HYPONYM(''gypsy, several_other_big-budget_musicals)
HYPONYM(the_now-famous_stages, the_time)
HYPONYM(a_former_director, north_korea)
HYPONYM(archer_daniels_midland, mega-corporations)
HYPONYM(walt_disney_world, worldwide_parks)
HYPONYM(eleanor_roosevelt, famous_historical_figures)
HYPONYM(barrens, open_spaces)
HYPONYM(taxes, alcohol_products)
HYPONYM(maps, minute_details)
HYPONYM(individual_postcards, gifts)
HYPONYM(mr._gianforcaro, plaintiffs)
HYPONYM(horseback_sprints, equestrian_skills)
HYPONYM(the_spurs, the_championship)
HYPONYM(toy_stores, public_events)
HYPONYM(children, low-income_people)
HYPONYM(wood_frogs, creatures)
HYPONYM(''monkey_business, five_hilarious_movies)
HYPONYM(foxes, better-behaved_inhabitants)
HYPONYM(boston, many_locales)
HYPONYM(barbie, classic_toys)
HYPONYM(the_elevator_operators, low-level_employees)
HYPONYM(senator_john_mccain, arizona_republicans)
HYPONYM(the_december_setback, a_month)
HYPONYM(stepdaughter, two_daughters)
HYPONYM(asthma, breathing_problems)
HYPONYM(lauray, specialists)
HYPONYM(works, the_season)
HYPONYM(test_scores, performance_data)
HYPONYM(airport_transportation, four-night_stay)
HYPONYM(43_lonsdale_street, similar_prices)
HYPONYM(garnets, exotic_stones)
HYPONYM(professor_maffettone, political_experts)
HYPONYM(on-screen, plasma_televisions)
HYPONYM(a_research_tool, an_item)
HYPONYM(chemistry, many_fields)
HYPONYM(13_million_children, 35_million_americans)
HYPONYM(a_seating_area, space)
HYPONYM(a_shula, lounges)
HYPONYM(the_families, people)
HYPONYM(crosswalks, pedestrian_areas)
HYPONYM(new_york, major_cities)
HYPONYM(classmates, about_400_people)
HYPONYM(howard_dean, the_candidates)
HYPONYM(native_music, asia)
HYPONYM(hundreds, cost-cutting_measures)
HYPONYM(two_republican_members, the_plan)
HYPONYM(leather_belts, goods)
HYPONYM(dry_riverbeds, erosion)
HYPONYM(the_ehret, breweries)
HYPONYM(well-known_figures, a_dozen_artists)
HYPONYM(the_rockets, the_championship)
HYPONYM(private_cottage, personal_records)
HYPONYM(shoplifters, petty_thieves)
HYPONYM(outkast, several_arista_artists)
HYPONYM(''mame, productions)
HYPONYM(templeton, american_fund_managers)
HYPONYM(the_toaster, small_appliances)
HYPONYM(the_benelux_countries, european_host_countries)
HYPONYM(hotels, many_industries)
HYPONYM(conferences, educational_outreach_efforts)
HYPONYM(best_picture, the_major_categories)
HYPONYM(2_presidential_suites, 257_rooms)
HYPONYM(time_equities, a_partnership)
HYPONYM(computer_sciences, many_fields)
HYPONYM(network_traffic, a_wireless_phone_call)
HYPONYM(colin_quinn, many_contemporary_comedians)
HYPONYM(cosmetic_ingredients, other_products)
HYPONYM(cubism, many_different_styles)
HYPONYM(mr._everest, small-business_owners)
HYPONYM(dvorak, stanislaw_skrowaczewski_conduct_programs)
HYPONYM(name, most_passengers)
HYPONYM(meals, four-night_stay)
HYPONYM(steaks, low-carbohydrate)
HYPONYM(television_call-in_programs, the_iraqi_news_media)
HYPONYM(the_governor, the_respondents)
HYPONYM(space-launch_vehicles, war)
HYPONYM(the_islamic_society, many_american_muslims)
HYPONYM(nearly_6,000_pit_bulls, 35,000_others)
HYPONYM(the_hit_''charlie, six_feature-length_movies)
HYPONYM(clean_plus, software_choices)
HYPONYM(toymaker_leonis, numerous_business_ventures)
HYPONYM(the_new_york_firm_shop/_sharples_holden_pasquarelli, young_turks)
HYPONYM(terrain, a_wireless_phone_call)
HYPONYM(ms._leon, last_year)
HYPONYM(alan_hershey, connecticut)
HYPONYM(the_new_york_times, the_computers)
HYPONYM(drug_trafficking, charges)
HYPONYM(the_ranch_purchase, conservation_efforts)
HYPONYM(the_closing, operations)
HYPONYM(more_horsepower, several_advantages)
HYPONYM(particular_terrorist_attacks, action)
HYPONYM(virginia_electric_power, some_electric_companies)
HYPONYM(dogs, mutual_interests)
HYPONYM(mr._salih, kurdish_leaders)
HYPONYM(slaid_cleaves, songwriters)
HYPONYM(clinical_psychology, other_areas)
HYPONYM(network_security, complications)
HYPONYM(deutsche_bank, banks)
HYPONYM(london, european_cities)
HYPONYM(a_pair, britney_stuff)
HYPONYM(hidden_obscenities, provocative_topics)
HYPONYM(education_officials, two_five-member_teams)
HYPONYM(publicists, unqualified_figures)
HYPONYM(the_united_states, occupying_forces)
HYPONYM(phish, the_jazz_mandolin_project)
HYPONYM(minestrone, best_bets)
HYPONYM(opera_singers, musicians)
HYPONYM(a_merger, abeyance)
HYPONYM(honey, countrified_products)
HYPONYM(the_design_district, dacra_projects)
HYPONYM(cinergy, some_electric_companies)
HYPONYM(royal_dutch/_shell, international_readers)
HYPONYM(offices, mixed_use)
HYPONYM(the_commission_polices, agreements)
HYPONYM(congress, the_agriculture_department)
HYPONYM(lane, 5_administrators)
HYPONYM(voter_registration_records, means)
HYPONYM(a_legendary_chocolate_cream_cake, desserts)
HYPONYM(drug_smuggling, international_conspiracy)
HYPONYM(the_federal_reserve_bank, private_collections)
HYPONYM(c, subway_service)
HYPONYM(a_toddler, ordinary_french_algerians)
HYPONYM(the_round_lime, five_other_species)
HYPONYM(bridge_road, boutiques)
HYPONYM(the_pacers, the_championship)
HYPONYM(martin_luther_king_jr., famous_historical_figures)
HYPONYM(dick_gephardt, others)
HYPONYM(djun-djuns, african_drums)
HYPONYM(suicide_bomb_attacks, iraq)
HYPONYM(chocolate-coconut, 16_flavors)
HYPONYM(local_government_agencies, businesses)
HYPONYM(sars, the_past_century)
HYPONYM(senior_administration_officials, all_parties)
HYPONYM(aerial_bombing, the_united_states_command)
HYPONYM(charles_schwab, the_new_york_stock_exchange)
HYPONYM(rem_koolhaas, architecture)
HYPONYM(the_decision, policy_making)
HYPONYM(members, the_state)
HYPONYM(tax, a_night)
HYPONYM(a_touchdown, 85_yards)
HYPONYM(health_programs, vital_services)
HYPONYM(germany, european_host_countries)
HYPONYM(techniques, expert_knowledge)
HYPONYM(airborne_assaults, the_united_states_command)
HYPONYM(''the_bachelor, numerous_other_programs)
HYPONYM(japan, several_countries)
HYPONYM(market_timing, arrangements)
HYPONYM(deficit_reduction, areas)
HYPONYM(carole_shorenstein_hayes, likely_producers)
HYPONYM(the_boswell_company, large_cotton_enterprises)
HYPONYM(meatpackers, critics)
HYPONYM(jerry_seinfeld, many_contemporary_comedians)
HYPONYM(jammu, all_bilateral_issues)
HYPONYM(limited_budgets, companies)
HYPONYM(the_f._b._i., federal_law_enforcement_agencies)
HYPONYM(legislators, public_officials)
HYPONYM(airliner, terrorist_attack)
HYPONYM(north_central_bronx, hospitals)
HYPONYM(a_heart_attack, cardiovascular_event)
HYPONYM(broadway_performers, musicians)
HYPONYM(payroll, human_resources_services)
HYPONYM(20th-century_arts, items)
HYPONYM(cézannes, impressionist)
HYPONYM(the_farm_security_administration, agencies)
HYPONYM(drugs, either_criminal_materials)
HYPONYM(club_med, clients)
HYPONYM(pension_funds, large_accounts)
HYPONYM(president_bush, many_politicians_today)
HYPONYM(a_clever_multiple-choice_version, games)
HYPONYM(adam_timmerman, high-profile_unrestricted_free_agents)
HYPONYM(mikhail_s._gorbachev, the_soviet_union)
HYPONYM(red_elephants, whimsical_animals)
HYPONYM(a_tucker_sno-cat, machines)
HYPONYM(''one_woman, few_vocal_numbers)
HYPONYM(ivory, precious_goods)
HYPONYM(m, subway_service)
HYPONYM(restaurants, many_industries)
HYPONYM(a_fifth_pension_tier, the_past)
HYPONYM(norwalk, cities)
HYPONYM(incense, precious_goods)
HYPONYM(the_city, high-needs_districts)
HYPONYM(head_scarves, overt_religious_symbols)
HYPONYM(ufj_holdings, bank_groups)
HYPONYM(islamic_jihadists, foreign_arabs)
HYPONYM(free_trade, a_conference_declaration)
HYPONYM(salt-cod_salad, homey_dishes)
HYPONYM(the_defense_department, other_federal_agencies)
HYPONYM(16_suites, 92_rooms)
HYPONYM(gospel_music, all_ages)
HYPONYM(gowns, cumbersome_equipment)
HYPONYM(louisville, division_i_programs)
HYPONYM(sony, clients)
HYPONYM(chet_baker, luminaries)
HYPONYM(vermont_maple_syrup, countrified_products)
HYPONYM(the_wailers, headliners)
HYPONYM(buildings, a_wireless_phone_call)
HYPONYM(pope_john_paul_ii, officials)
HYPONYM(some_democrats, many_legislators)
HYPONYM(the_patriarch, family_members)
HYPONYM(154,000_square_feet, space)
HYPONYM(associations, nonprofit_groups)
HYPONYM(verizon, big_carriers)
HYPONYM(cafes, public_places)
HYPONYM(a_black_expo, attendees)
HYPONYM(rice, especially_certain_foods)
HYPONYM(the_january_performance_schedule, events)
HYPONYM(earthly_delights, investitures)
HYPONYM(amethysts, exotic_stones)
HYPONYM(peptic_ulcer_disease, infections)
HYPONYM(mr._donaldson, officials)
HYPONYM(tiger_woods, tour_heavyweights)
HYPONYM(the_dead_sea, renowned_water_sources)
